zapsibcombank,,BM-Bank JSC,70530310103,
ooo_kb_gt_bank,,Gaztransbank,73242026701,
ao_ishbank,,ISBANK,72292028101,
investment_bank_vesta_llc,,Blanc bank,73702034201,
ao_akb_mezhdunarodnyj_finansovyj_klub,,MFK BANK,73572035601,
National_bank_Rep_South_Ossetia,,National bank Rep. of South Ossetia,50000000000,
yoomoney,,"""YooMoney"", NBCO LLC",74252041201,
sks_bank_llc,"SKS Bank, LLC","MP Bank, LLC",74694150101,
vtb_belarus,CJSC VTB Bank,CJSC VTB Bank (Belarus),50000000001,
vtb_am,,VTB (Armenia),50000000033,
vtb_kz,,Bank VTB (Kazakhstan),50000000004,
Sukhum,,"The Commercial bank ""Sukhum - Bank""",89002000005,
Universal,,"The Commercial bank ""Universal - bank""",89002000007,
Savings Bank of Abkhazia,,Savings Bank of Abkhazia,89002000002,
Amra,,"The Commercial bank ""Amra - bank"" (LLC)",89002000008,
id_bank_cjsc,ID Bank CJSC,ID Bank CJSC,89001000003,
araratbank_ojsc,ARARATBANK OJSC,ARARATBANK OJSC,89001000005,
armeconombank_ojsc,ARMECONOMBANK OJSC,ARMECONOMBANK OJSC,89001000006,
acba_credit_agricole_bank_cjsc,ACBA-CREDIT AGRICOLE BANK CJSC,ACBA-CREDIT AGRICOLE BANK CJSC,89001000002,
alfa_by,CJSC Alfa-Bank,ALFA-BANK CJSK,89005000002,
belvnesheconom,Bank BelVEB JSC,Bank BelVEB JSC,89005000005,
belgazprombank,,Belgazprombank SBR JSC,89005000020,
sberbank_by,,Sber bank,89005000023,
technobank,BELVNESHECONOMBANK,"""Technobank"" JSC",89005000008,
belinvest,Belarusian Bank for Development and Reconstruction Belinvestbank JSC,"""Belinvestbank"" JSC""",89005000003,
bnb_by,Belarusky Narodny Bank (Belarusian People's Bank OJSC),BNB-Bank JSC,89005000015,
DOSCREDO,,"OJSC ""Dos-Kredobank""",89003000006,
bakai,,"OJSC ""BAKAI Bank""",89003000002,
RSKBank,,"OJSC ""RSK Bank""",89003000003,
bakai,,"OJSC ""BAKAI BANK""",89003000004,
kyrgyzkommerts,OJSC Commercial Bank Kyrgyzstan,"OJSC ""Commercial bank KYRGYZSTAN""",89003000008,
bank_asia_cjsc,,"CJSC ""Bank of Asia""",89003000009,
Eurasian Savings Bank,OJSC Eurasian Savings Bank,"OJSC ""Eurasian Savings Bank""",89003000010,
Keremet,Open Joint Stock Company Keremet Bank,"OJSC ""Keremet Bank""",89003000011,
FinanceCredit,OJSC FinanceCreditBank,"OJSC ""FinanceCreditBank""",89003000012,
halyk_kgz,,"OJSC ""Halyk Bank Kyrgyzstan""",89003000013,
TOLUBAI,,"CJSB JSCB ""Tolubay""",89003000016,
Aiyl,OJSC Aiyl Bank,"OJSC ""Aiyl Bank""",89003000017,
NBP BB,Bishkek branch of the National bank of Pakistan,Bishkek branch of the National bank of Pakistan,89003000018,
Keremet,Open Joint Stock Company Keremet Bank,"OJSC ""Kyrgyzkommertsbank""",89003000022,
optima_bank,,"OJSC ""Optima Bank""",89003000023,
DEMIR,DEMIR KYRGYZ INTERNATIONAL BANK CJSC,"CJSC ""Demir Kyrgyz Internation Bank""",89003000025,
capital_kgz,,"OJSC ""Capital Bank""",89003000024,
Amonatbonk,,"SSB RT ""Amonatbonk""",89006000003,
Kommerzbank,Ltd MDO Kommerzbank,"Ltd MDO ""Kommerzbank""",89006000014,
Aloqa,,"JSC ""Aloqabank""",89004000012,
Agrobank,,"JSCB ""Agrobank""",89004000001,
QishloqQurilish,,"JSCB ""QishloqQurilishBank""",89004000008,
Davr,,"PJSC ""Davr-bank""",89004000017,
Turon,,"JSCB ""Turonbank""",89004000013,
Poytaht,,"JSC ""Poytaht bank""",89004000029,
AziyaAlians,OJSCB ASIA ALLIANCE BANK,"JSCB ""Asia Aliance Bank""",89004000018,
Universal,,"PJSC ""Universalbank""",89004000020,
Saderot,,"Affiliate bank ""Saderot"" Iran",89004000027,
ipoteka,JS Commercial Mortgage Bank Ipoteka Bank,"JSICB ""Ipoteka-bank""",89004000003,
Mikrokredit,,"JSCB ""Mikrokreditbank""",89004000006,
NBU,National Bank for Foreign Economic Affairs,National Bank for Foreign Economic Affairs,89004000004,
Ravnaq,,"PJSC ""Ravnaq-bank""",89004000023,
Promstroy,,"JSCB ""Uzpromstroybank""",89004000007,
Hamkor,,"JSCB ""Hamkorbank",89004000005,
IpakYoli,,"JSICB ""Ipak Yuli""",89004000010,
Kapital,,"JSCB ""Kapitalbank""",89004000015,
Trastbank,Private JS Exchange Bank Trustbank,"PJSC ""Trasnbank""",89004000014,
KDB,,"JSC ""KDB Uzbekistan""",89004000024,
OrientFinans,,"PJSC ""Orient Finance""",89004000019,
Asaka,,"JSCB "" Asaka""",89004000009,
InFin,,"JSCB ""Invest Finance Bank""",89004000016,
Madad,,"PJSC ""Madad Invest Bank""",89004000025,
Uzagroeksport,,"JSCB ""Uzagroeksportbank""",89004000028,
TBC,,"JSCB ""TBC Bank""",89004000031,
AO ANOR BANK,,"JSC ""Anor Bank""",89004000032,
